gene	PAPmneg1	PAPmneg2	PAPmpos1	PAPmpos2	SCCmneg1	SCCmneg2	SCCmpos1	SCCmpos2
Gm24071	0	0	0	0	0	0	0	0
Gm24073	0	0	0	0	0	0	0	0
Gm24074	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0
Gm24076	0	0	0	0	0	0	0	0
Gm24077	0	0	0	0	0	0	0	0
Gm24078	0	0	0	0	0	0	0	0
Gm24079	0	0	0	0	0	0	0	0
Gm24080	0	0	0	0	0	0	0	0
Gm24081	1.265	0.5	0	0	0	0.568	0.5	0
Gm24082	0	0	0	0	0	0	0	0
Gm24083	0	0	0	0	0	0	0	0
Gm24084	0	0	0	0	0	0	0	0
Gm24085	0	0	0	0	0	0	0	0
Gm24086	0	0	0	0	0	0	0	0
Gm24088	0	0	0	0	0	0	0	0
Gm24089	0	0	0	0	0	0	0	0
Gm24091	2	0	1	0	0	3	1	1
Gm24095	0	0	0	0	0	0	0	0
Gm24096	0	0	0	0	0	0	0	0
Gm24097	0	0	0	0	0	0	0	0
Gm24098	0	0	0	0	0	0	0	0
Gm24099	0	0	0	0	0	0	0	0
Gm24100	0	0	0	0	0	0	0	0
Gm24103	1.993	0	0	0	0	0	0	0
Gm24105	0	1.063	0	0	2.129	0	0	0
Gm24106	0	0	0	0	0	0	0	0
Gm24108	0	0	0	0	0	0	0	0
Gm24109	0	0	0	0	0	0	0	0
Gm24111	0	0	0	0	0	0	0	0
Gm24112	0	0	0	0	0	0	0	0
Gm24113	0	0	0	0	0	0	0	0
Gm24115	0	0	0	0	0	0	0	0
Gm24116	0	0	0	0	0	0	0	0
Gm24117	0	0	0	0	0	0	0	0
Gm24118	0	0	0	0	0	0	0	0
Gm24119	8	6	18	9	12	4	4	14
Gm24120	0	0	0	0	0	0	0	0
Gm24121	0	0	0	0	0	0	0	0
Gm24122	0	0	0	0	0	0	0	0
Gm24123	0	0	0	0	0	0	0	0
Gm24124	0	0	0	0	0	0	0	0
Gm24125	0	0	0	0	0	0	0	0
Gm24126	0	0	0	0	0	0	0	0
Gm24127	0	0	0	0	0	0	0	0
Gm24128	0	0	0	0	0	0	0	0
Gm24129	0	0	0	0	0	0	0	0
Gm24130	0	0	0	0	0	0	0	0
Gm24131	0	0	0	0	0	0	0	0
Gm24132	0	0	0	0	0	0	0	0
Gm24133	0	0	0	0	0	0	0	0
Gm24134	0	0	0	2.479	0	0	0	0
Gm24136	0	0	0	0	0	0	0	0
Gm24138	0	0	0	0	0	0	0	0
Gm24139	0	0	0	0	0	0	1	0
Gm24140	0	2	0	0	0	0	0	0
Gm24141	0	0	0	0	0	0	0	0
Gm24142	0	0	0	0	0	0	0	0
Gm24143	0	0	0	0	0	0	0	0
Gm24144	0	0	0	0	0	0	0	0
Gm24145	0	0	1	0	2	0	2	1
Gm24146	0	0	0	0	2.134	0	0	0
Gm24147	0	0	0	0	0	0	0	0
Gm24148	0	0	0	0	1.001	0	0	0
Gm24149	0	0	0	0	0	0	0	0
Gm2415	60	51	62	47	92	63	87.307	55
Gm24150	0	0	0	0	0	0	0	0
Gm24151	0	0	0	0	0	0	0	0
Gm24152	0	0	0	0	0	0	0	0
Gm24154	0	0	0	0	0	0	0	0
Gm24155	0	0	0	0	0	0	0	0
Gm24157	72.425	42.997	84.145	86.607	65.727	80.59	56.825	76.846
Gm24158	0	0	0	0	0	0	0	0
Gm24160	0	0	0	0	0	0	0	0
Gm24161	0	0	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0
Gm24163	0	0	0	0	0	0	0	0
Gm24164	0	0	0	0	0	0	0	0
Gm24165	0	0	0	0	0	0	0	0
Gm24166	0	0	0	0	1	0	0	0
Gm24167	0	0	0	0	0	0	0	0
Gm24168	0	0	0	0	0	0	0	0
Gm24170	0	0	0	0	0	0	0	0
Gm24171	0	0	0	0	0	0	0	0
Gm24172	0	0	0	0	0	0	0	0
Gm24173	0	0	0	0	0	0	0	0
Gm24174	0	0	0	0	0	0	0	0
Gm24175	0	0	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0	0	0
Gm24177	0	0	0	0	0	0	0	0
Gm24178	0	0	0	0	0	0	0	0
Gm24179	0	0	0	0	0	0	0	0
Gm24180	0	0	0	0	0	0	0	0
Gm24182	0.975	3.074	4.583	0.268	1.107	0	0.902	0
Gm24183	0	0	0	0	0	0	0	0
Gm24184	0	0	0	0	0	0	0	0
Gm24185	1	0	0	0	0	0	0	0
Gm24186	0	0	0	0	0	0	0	0
Gm24187	0	0	0	0	0	0	0	0
Gm24188	0	0	0	0	0	0	0	0
Gm24189	0	0	0	0	0	0	0	0
Gm24190	0	0	0	0	0	0	0	0
Gm24191	0	0	0	0	0	0	0	0
Gm24192	0	0	0	0	0	0	0	0
Gm24194	0	0	0	0	0	0	0	0
Gm24195	0	0	0	0	0	0	0	0
Gm24196	0	0	0	0	0	0	0	0
Gm24197	0	0	0	0	0	0	0	0
Gm24198	0	0	0	0	0	0	0	0
Gm24199	0	0	0	0	0	0	0	0
Gm2420	6.257	5.438	10.637	3.28	8.613	4.128	6.415	9.487
Gm24200	0	0	0	0	0	0	0	0
Gm24201	7.086	1.937	6.637	8.39	2.883	0.909	9.96	3.767
Gm24202	0	0	0	0	0	0	0	0
Gm24203	0	0	0	0	0	0	0	0
Gm24204	0	0	0	0	0	0	0	0
Gm24207	0	0	0	0	0	0	0	0
Gm24208	0	0	0	0	0	0	0	0
Gm24210	0	0	0	0	0	0	0	0
Gm24211	0	0	0	0	0	0	0	0
Gm24212	0	0	0	0	0	0	0	0
Gm24213	0	0	0	0	0	0	0	0
Gm24216	0	0	0	0	0	0	0	0
Gm24217	0	0	0	0	0	0	0	0
Gm24218	0	0	0	0	0	0	0	0
Gm24221	0	0	0	0	0	0	0	0
Gm24222	0	0	0	0	0	0	0	0
Gm24223	0	0	0	0	0	0	0	0
Gm24224	0	0	0	0	0	0	0	0
Gm24225	0	0	0	0	0	0	0	0
Gm24226	0	0	0	0	0	0	0	0
Gm24228	0	0	0	0	0	0	0	0
Gm24229	0	0	0	0	0	0	0	0
Gm2423	0	155.302	0	214.116	0	0	154.01	0
Gm24230	0	0	0	0	0	0	0	0
Gm24231	0	0	0	0	0	0	0	0
Gm24232	0	0	0	0	0	0	0	0
Gm24233	0	0	0	0	0	0	1	0
Gm24234	0	0	0	0	0	0	0	0
Gm24235	0	0	0	0	0	0	0	0
Gm24236	0	0	0	0	0	0	0	0
Gm24237	0	0	0	0	0	0	0	0
Gm24238	0	0	0	0	0	0	0	0
Gm24239	0	0	0	0	0	0	0	0
Gm24240	0	0	0	0	0	0	0	0
Gm24241	0	0	0	0	0	0	0	0
Gm24244	0	0	0	0	0	0	0	0
Gm24245	180	217	175	220	218	200	252	237
Gm24246	0	0	0	0	0	0	0	0
Gm24248	0	0	0	0	0	0	0	0
Gm24249	0	0	0	0	0	0	0	0
Gm24250	0	0	0	0	0	0	0	0
Gm24251	0	0	0	0	0	0	0	0
Gm24252	0	0	0	0	0	0	0	0
Gm24253	0.5	0.5	0.5	1	0.5	0	0	0
Gm24254	0	0	0	0	0	0	0	0
Gm24255	0	0	0	0	0	0	0	0
Gm24256	0	0	0	0	0	0	0	0
Gm24257	0	0	0	0	0	0	0	0
Gm24258	0	0	0	0	0	0	0	0
Gm24259	0	0	0	0	0	0	0	0
Gm24261	45.367	44.409	61.064	45.913	25.699	50.75	29.886	60.786
Gm24262	0	0	0	0	0	0	0	0
Gm24263	0	0	0	0	0	0	0	0
Gm24264	0	0	0	0	0	0	0	0
Gm24265	0	0	0	3	1	0	0	0.5
Gm24267	0	0	0	0	0	0	0	0
Gm24268	0	0	0	0	0	0	0	0
Gm24269	0	0	0	0	0	0	0	0
Gm2427	0	0	0	0	0	0	0	0
Gm24271	0	0	0	0	0	0	0	0
Gm24272	1	0	0	0	0	0	0	0
Gm24273	0	0	0	0	0	0	0	0
Gm24274	0	0	0	0	0	0	0	0
Gm24275	0	0	0	0	0	0	0	0
Gm24276	0	0	0	0	0	0	0	0
Gm24277	0	0	0	0	0	0	0	0
Gm24278	0	0	0	0	0	0	0	0
Gm24279	0	0	0	0	0	0	0	0
Gm24280	0	0	0	0	0	0	0	0
Gm24281	0	0	0	0	0	0	0	0
Gm24282	0	0	0	0	0	0	0	0
Gm24283	0	0	0	0	0	0	0	0
Gm24284	0	0	0	0	0	0	0	0
Gm24285	0	0	0	0	0	0	0	0
Gm24286	0	0	0	0	0	0	0	0
Gm24288	0	0	0	0	0	0	0	0
Gm24289	0	0	2	0	0	0	0	0
Gm2429	0	0	0	0	0	0	0	0
Gm24290	0	0	0	0	0	0	0	0
Gm24291	0	0	0	0	0	0	0	0
Gm24292	0	0	0	0	0	0	0	0
Gm24294	0	0	0	0	0	0	0	0
Gm24295	0	0	0	0	0	0	0	0
Gm24296	0	0	0	0	0	0	0	0
Gm24297	0	0	0	0	0	0	0	0
Gm24298	0	0	0	0	0	0	0	0
Gm24299	2.369	0	0	0	0	0	0	0
Gm24300	0	0	0	0	0	0	0	0
Gm24303	0	0	0	0	0	0	0	0
Gm24304	0	0	0	0	0	0	0	0
Gm24305	0	0	0	0	0	0	0	0
Gm24306	0	0	0	0	0	0	0	0
Gm24307	0	0	2	0	0	0	0	0
Gm24308	0	0	0	0	0	0	0	0
Gm2431	0	0	0	0	0	0	0	0
Gm24310	0	0	0	0	0	0	0	0
Gm24311	0	0	0	0	0	0	0	0
Gm24313	1	1	2	0	0	0	0	0
Gm24314	0	0	0	0	0	0	0	0
Gm24315	0	0	0	0	0	0	0	0
Gm24316	0	0	0	0	0	0	0	0
Gm24317	0	0	0	0	0	0	0	0
Gm24318	0	0	0	0	0	0	0	0
Gm24319	0	0	0	0	0	0	0	0
Gm24321	0	0	0	0	0	0	0	0
Gm24322	0	0	0	0	0	0	0	0
Gm24323	0	0	0	0	0	0	0	0
Gm24325	0	0	0	0	0	0	1	0
Gm24326	0	0	0	0	0	0	0	0
Gm24327	0	0	0	0	0	0	0	0
Gm24328	0	0	0	0	0	0	0	0
Gm24330	0	0	0	0	0	0	0	0
Gm24333	0	0	0	0	0	0	0	0
Gm24334	0	0	0	0	1	0	0	0
Gm24335	0	0	0	0	0	0	0	0
Gm24336	2	2	2	0	2	0	0	3
Gm24337	0	0	0	0	0	0	0	0
Gm24338	0	0	0	0	0	0	0	0
Gm24339	0	0	0	0	0	0	0	0
Gm24340	0	0	0	0	0	0	0	0
Gm24341	0	0	0	0	0	0	0	0
Gm24342	0	0	0	0	0	0	0	0
Gm24343	0	0	0	0	0	0	0	0
Gm24345	0	0	0	0	0	0	0	0
Gm24346	0	0	1	0	0	0	0	0
Gm24347	0	0	0	0	0	0	0	0
Gm24348	0	0	0	0	0	0	0	0
Gm24349	0	0	0	0	0	0	0	0
Gm24350	0	0	0	0	0	0	0	0
Gm24352	0	0	0	0	0	0	0	0
Gm24355	0	0	0	0	0.441	0	0	0
Gm24356	0	0	0	0	0	0	0	0
Gm24357	0	0	0	9.546	0	0	0	0
Gm24358	0	0	0	0	0	0	0	0
Gm24359	0	0	0	0	0	0	0	0
Gm2436	0	106.198	193.69	111.455	0	0	172.599	147.39
Gm24362	2.518	0	2	1.034	1	4.807	0	3.867
Gm24363	0	0	0	0	0	0	0	0
Gm24365	0	0	0	0	0	0	0	0
Gm24366	0	0	0	0	0	0	0	0
Gm24368	0	0	0	0	0	0	0	0
Gm24369	0	0	0	0	0	0	0	0
Gm24371	0	0	0	0	0	0	0	0
Gm24372	0	0	0	0	0	0	0	0
Gm24373	0	0	0	0	0	0	0	0
Gm24374	0	0	0	0	0	0	0	0
Gm24375	0	0	0	0	0	0	0	0
Gm24376	0	0	0	0	0	0	0	0
Gm24377	0	0	0	0	0	0	0	0
Gm24378	0	0	0	0	0	0	0	0
Gm24379	0	0	0	0	0	0	0	1
Gm24380	0	0	0	0	0	0	0	0
Gm24381	0	0	0	0	0	0	0	0
Gm24382	0	0	0	0	0	0	0	0
Gm24383	0	0	0	0	0	0	0	0
Gm24384	0	0	0	0	0	0	0	0
Gm24385	0	0	0	0	0	0	0	0
Gm24387	0	0	0	0	0	0	0	0
Gm24388	0	0	0	0	0	0	0	0
Gm24390	0	0	0	0	0	0	0	0
Gm24391	0	0	0	0	0	0	0	0
Gm24392	0	0	0	0	0	0	0	0
Gm24393	0	0	0	0	0	0	0	0
Gm24394	0	0	0	0	0	0	0	0
Gm24395	0	0	0	0	0	0	0	0
Gm24396	0	0	0	0	0	0	0	0
Gm24398	0	0	0	0	0	0	0	0
Gm24399	0	0	0	0	0	0	0	0
Gm24400	0	0	0	0	0	0	0	0
Gm24401	0	0	0	0	0	0	0	0
Gm24402	0	0	0	0	0	0	0	0
Gm24403	0	0	0	0	0	0	0	0
Gm24405	0	0	0	0	0	0	0	0
Gm24406	0	0	0	2	0	0	0	0
Gm24407	0	0	0	0	1	2	2	0.5
Gm24409	0	0	0	0	0	0	0	0
Gm24410	0	0	0	0	0	0	0	0
Gm24411	6.858	0	0	0	0	0	0	0
Gm24412	0	0	0	0	0	0	0	0
Gm24414	0.975	3.074	4.583	0.268	1.107	0	0.902	0
Gm24415	0	0	0	0	0	0	0	0
Gm24418	0	0	0	0	0	0	0	0
Gm24419	0	0	0	0	0	0	0	0
Gm24420	0	0	0	0	0	0	0	0
Gm24422	0	0	0	0	0	0	0	0
Gm24423	0	0	0	0	0	0	0	0
Gm24429	0	0	0	0	0	0	0	0
Gm24430	0	0	0	4	0	1	0	0
Gm24431	0	0	0	0	0	0	0	0
Gm24432	0	0	0	0	0	0	0	0
Gm24433	0	0	0	0	0	0	0	0
Gm24434	0	0	0	0	0	0	0	0
Gm24435	0	0	0	0	0	0	0	0
Gm24436	0	0	0	0	0	0	0	0
Gm24437	1.098	0	3.509	1	2.025	1.114	0	2.558
Gm24438	0	0	0	0	0	0	0	0
Gm24439	0	0	0	0	0	0	0	0
Gm24440	0	0	0	0	0	0	0	0
Gm24441	0	0	0	0	0	0	0	0
Gm24442	0	0	0	0	0	0	0	0
Gm24443	0	0	0	0	0	0	0	0
Gm24444	0	0	0	0	0	0	0	0
Gm24445	0	0	0	0	0	0	0	0
Gm24446	0	0	0	0	0	0	0	0
Gm24447	0	0	0	0	0	0	0	0
Gm24448	0	0	0	0	0	0	0	0
Gm24449	0	0	0	0	0	0	0	0
Gm2445	26.93	33.156	30.178	27.808	36.029	55.231	35.142	38.697
Gm24451	3	4	8	7	4	2	0	6
Gm24452	0	0	0	0	0	0	0	0
Gm24453	0	0	2.559	0	0	3.203	0	4.964
Gm24454	0	0	0	0	0	0	0	0
Gm24455	0	0	6.163	12.677	0	0	0	0
Gm24456	0	0	0	0	0	0	0	0
Gm24457	0	0	0	0	0	0	0	0
Gm24459	0	0	0	0	0	0	0	0
Gm2446	179.899	0	0	0	160.928	157.931	0	0
Gm24460	0	0	0	0	0	0	0	0
Gm24461	0	0	0	0	0	0	0	0
Gm24462	0	0	0	0	0	0	0	0
Gm24464	0	0	0	0	0	0	0	0
Gm24465	0	0	0	0	0	0	0	0
Gm24466	0	0	0	0	0	0	0	0
Gm24467	0	0	0	0	0	0	0	0
Gm24468	0	0	0	0	0	0	0	0
Gm24469	0	0	0	0	0	0	0	0
Gm2447	0	0	0	0	2	0	0	0
Gm24470	0	0	0	0	0	0	0	0
Gm24471	0	0	0	0	0	0	0	0
Gm24472	0	0	0	0	0	0	0	0
Gm24473	0	0	0	0	0	0	0	0
Gm24474	23	8	13	18	33	11	41	17
Gm24475	0	1	0	0	1	0	0	0
Gm24476	0	0	0	0	0	0	0	0
Gm24477	0	0	0	0	0	0	0	0
Gm24478	0	0	0	0	0	0	0	0
Gm2448	0	0	1	0	0	0	0	0
Gm24480	0	0	0	0	0	0	0	0
Gm24481	0	0	0	0	0	0	0	0
Gm24482	0	0	0	0	0	0	0	0
Gm24487	0	0	0	0	0	0	0	0
Gm2449	0	0	0	0	1	1	1	0
Gm24490	0	0	0	0	0	0	0	0
Gm24491	0	0	0	0	0	0	0	0
Gm24492	0	0	0	0	0	0	0	0
Gm24493	0	0	0	0	0	0	0	0
Gm24494	10	4	9	10	0	5	1	4
Gm24495	0	0	0	0	0	0	0	0
Gm24497	8.889	4.752	0	2.846	0	0	0	0
Gm24498	0	0	0	0	0	0	0	0
Gm24499	0	0	0	0	0	0	0	0
Gm24500	0	1	1	1	0	0	1	0
Gm24501	0	0	0	0	0	0	0	0
Gm24502	0	0	0	0	0	0	0	0
Gm24503	0	0	0	0	0	0	0	0
Gm24504	0	0	0	0	0	0	0	0
Gm24505	0	0	0	0	0	0	0	0
Gm24507	0	0	1	1	0	1	0	0
Gm24508	0	0	0	0	0	0	0	0
Gm2451	2.676	0	2.776	6.948	6.851	0	10.673	2.667
Gm24510	0	0	0	0	0	0	0	0
Gm24512	0	0	0	0	0	0	0	0
Gm24513	0	0	0	0	0	0	0	0
Gm24514	0	0	0	0	0	0	0	0
Gm24515	0	0	0	0	0	0	0	0
Gm24517	0	0	0	0	0	0	0	0
Gm24518	0	0	0	0	0	0	0	0
Gm24519	0	0	0	0	0	0	0	0
Gm24520	0	0	0	0	0	0	0	0
Gm24521	0	0	0	0	0	0	0	0
Gm24522	0	0	0	0	0	0	0	0
Gm24523	0	0	0	0	0	0	0	0
Gm24524	0	0	0	0	0	0	0	0
Gm24525	0	0	0	0	0	0	0.5	0
Gm24526	0	0	0	0	0	0	0	0
Gm24527	0	0	0	0	0	0	0	0
Gm2453	2	1	0	0	0	1	2	3
Gm24530	0	0	1	0	1	0	0	0
Gm24531	0	0	0	0	0	0	0	0
Gm24532	0	0	0	0	0	0	0	0
Gm24533	0	0	0	0	0	0	1	0
Gm24534	0	0	0	0	0	0	0	0
Gm24535	0	0	0	0	0	0	0	0
Gm24536	0	0	0	0	0	0	0	0
Gm24537	0	0	0	0	0	0	0	0
Gm24538	0	0	0	0	0	0	0	0
Gm24541	0	0	0	0	0	0	0	0
Gm24542	0	0	0	0	0	0	0	0
Gm24543	0	0	0	0	0	0	0	0
Gm24544	0	0	0	0	0	0	0	0
Gm24545	0	0	0	0	0	0	0	0
Gm24546	0	0	0	0	0	0	0	0
Gm24547	0	0	0	0	0	0	0	0
Gm24548	0	0	0	0	0	0	0	0
Gm24549	0	0	0	0	0	0	0	0
Gm24550	0	0	0	0	0	0	0	0
Gm24551	0	0	0	0	0	0	0	0
Gm24552	0	0	0	0	0	0	0	0
Gm24553	0	0	0	0	0	0	0	0
Gm24554	0	0	0	0	0	0	0	0
Gm24555	0	0	0	0	0	0	0	0
Gm24556	0	0	0	0	0	0	0	0
Gm24557	0	0	0	0	0	0	0	0
Gm24559	0	0	0	0	0	0	0	0
Gm24561	0	0	0	0	0	0	0	0
Gm24563	0	0	0	0	0	0	0	0
Gm24564	0	0	0	0	0	0	0	0
Gm24565	0	0	0	0	0	0	0	0
Gm24568	0	0	0	0	0	0	0	0
Gm24569	0	0	0	0	0	0	0	0
Gm24572	0	0	0	0	0	0	0	0
Gm24573	0	0	0	0	0	0	0	0
Gm24574	0	0	1	0	2	0	0	1
Gm24575	0	0	0	0	0	0	0	0
Gm24576	0	1.005	1	0	0	0	0	0
Gm24577	0	0	0	0	0	0	0	0
Gm24578	0	0	0	0	0	0	0	0
Gm24579	0	0	0	0	0	0	0	0
Gm24580	0	0	0	0	0	0	0	0
Gm24581	0	0	0	0	0	0	0	0
Gm24582	0	0	0	0	0	0	0	0
Gm24586	1	0	0	0	0	0	0	1
Gm24587	0	0	0	0	0	0	0	0
Gm24588	0	0	0	0	0	0	1	0
Gm24589	1	0	1	0	2	0	0	0
Gm24590	0	0	0	0	0	0	0	0
Gm24591	0	0	0	0	0	0	0	0
Gm24592	0	0	0	0	0	0	0	0
Gm24593	0	0	0	0	0	0	0	0
Gm24594	0	0	0	0	0	0	0	0
Gm24595	0	0	0	0	0	0	0	0
Gm24596	0	0	0	0	0	0	0	0
Gm24597	0	0	0	0	0	0	0	0
Gm24598	0	0	0	0	0	0	0	0
Gm24599	0	0	0	0	0	0	0	0
Gm24601	0	0	0	0	0	0	0	0
Gm24602	0	0	0	0	0	0	0	0
Gm24605	0	0	0	0	0	0	0	0
Gm24607	0	0	0	0	0	0	0	0
Gm24608	0	0	0	2	0	1	1	0
Gm24610	0	0	0	0	0	0	0	0
Gm24611	0	0	0	0	0	0	0	0
Gm24612	0	0	0	0	0	0	0	0
Gm24613	0	0	0	0	5.694	0	0	3.757
Gm24614	0	0	0	0	0	0	0	0
Gm24615	0	0	0	0	0	1	0	0
Gm24616	7	1	28	7	2	2	6	7
Gm24620	0	1	0	0	2	0	0	0
Gm24621	0	0	0	0	0	0	0	0
Gm24622	0	0	0	0	0	0	0	0
Gm24623	0	0	0	1	0	0	0	0
Gm24624	0	0	0	0	0	0	0	0
Gm24625	0	0	0	0	0	0	0	0
Gm24626	0	0	0	0	0	0	0	0
Gm24627	0	0	0	0	0	0	0	0
Gm24628	0	0	0	0	0	0	0	0
Gm24629	1	0	0	0	0	1	0	0
Gm24630	0	0	0	0	0	0	0	0
Gm24631	0	0	0	0	0	0	0	0
Gm24632	0	0	0	0	0	0	0	0
Gm24633	0	0	0	0	0	0	0	0
Gm24634	0	0	0	0	0	0	0	0
Gm24635	0	0	0	0	0	0	0	0
Gm24636	0	0	0	0	0	0	0	0
Gm24637	0	0	0	0	0	0	0	0
Gm24638	0	0	0	0	0	0	0	0
Gm2464	0	0	0	0	0	0	0	0
Gm24640	0	0	0	0	0	0	0	0
Gm24644	0	0	3	1	0	0	1	0
Gm24646	0	0	0	0	0	0	0	0
Gm24647	0	0	0	0	0	0	0	0
Gm24648	0	0	0	0	0	0	0	0
Gm24649	0	0	0	0	0	0	0	0
Gm24650	0	0	0	0	0	0	0	0
Gm24651	0	0	0	0	0	0	0	0
Gm24653	0	0	0	0	0	0	0	0
Gm24655	0	0	0	0	0	0	0	0
Gm24656	0	0	0	0	0	0	0	0
Gm24657	0	0	0	0	0	0	0	0
Gm24659	0	0	0	0	0	0	0	0
Gm24661	0	0	0	0	0	0	0	0
Gm24664	0	0	0	0	0	0	0	0
Gm24665	0	0	0	0	0	0	0	0
Gm24666	0	0	0	0	0	0	0	0
Gm24667	0	0	0	0	0	0	0	0
Gm24668	0	0	0	0	0	0	0	0
Gm24669	0	0	0	0	0	0	0	0
Gm2467	10.441	14.656	7.91	7.075	13.499	9.814	13.481	16.443
Gm24670	0	0	0	0	0	0	0	0
Gm24671	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0
Gm24675	0	0	0	0	0	0	0	0
Gm24676	0	0	0	0	0	0	0	0
Gm24677	0	0	0	0	0	0	0	0
Gm24678	0	0	0	0	0	0	0	0
Gm24679	0	0	0	0	0	0	0	0
Gm24680	0	0	0	0	0	0	0	0
Gm24681	0	0	0	0	0	0	0	0
Gm24682	0	0	0	0	0	0	0	0
Gm24683	0	0	0	0	0	0	0	0
Gm24685	1	0	2	0	0	0	0	0
Gm24686	0	0	0	0	0	0	0	0
Gm24687	0	0	0	0	0	0	0	0
Gm24689	0	0	0	0	0	0	0	1
Gm24690	0	0	0	0	0	0	0	0
Gm24691	0	0	0	0	0	0	0	0
Gm24692	0	0	0	0	0	0	0	0
Gm24694	0	0	0	0	0	0	0	0
Gm24695	0	0	0	0	0	0	0	0
Gm24696	0	0	0	0	0	0	0	0
Gm24697	0	0	0	0	0	0	0	0
Gm24698	0	0	0	1	0	0	0	0
Gm24701	0	0	0	0	0	0	0	0
Gm24704	0	0	0	0	0	0	0	0
Gm24705	0	1.005	0	0	0	0	0	0
Gm24706	0	0	0	0	0	0	0	0
Gm24707	0	0	0	0	0	0	0	0
Gm24708	0	0	0	0	0	0	0	0
Gm24709	0	0	0	0	0	0	0	0
Gm24710	0	0	1	1	0	0	0	0
Gm24712	0	0	0	0	0	0	0	0
Gm24714	0	0	0	0	0	0	0	0
Gm24715	0	0	0	0	0	0	0	2
Gm24716	0	0	0	0	0	0	0	0
Gm24717	0	0	0	0	0	0	0	0
Gm24718	0	0	0	0	0	0	0	0
Gm24719	0	0	0	0	0	0	0	0
Gm24720	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0
Gm24724	0	0	0	0	0	0	0	0
Gm24725	0	0	0	0	0	0	0	0
Gm24726	0	0	0	0	0	0	0	0
Gm24727	2	5	3.5	5	1	6	4	10
Gm24728	0	0	0	0	0	0	0	0
Gm24729	0	0	0	0	0	0	0	0
Gm24730	0	0	0	0	0	0	0	0
Gm24731	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0
Gm24733	0	0	0	0	0	0	0	0
Gm24734	0	0	0	0	0	0	0	0
Gm24735	0	0	0	0	0	0	0	0
Gm24736	0	0	0	0	0	0	0	0
Gm24737	0	0	0	0	0	0	0	0
Gm24738	0	0	0	0	0	0	0	0
Gm24739	0	0	0	0	0	0	0	0
Gm2474	0	0	0	0	0	0	0	0
Gm24741	0	0	0	0	0	0	2	0
Gm24745	0	0	0	0	0	0	0	0
Gm24747	0	0	0	0	0	0	0	0
Gm24748	0	0	0	0	0	0	0	0
Gm24749	0	0	0	0	0	0	0	0
Gm24750	0	0	0	0	0	0	0	0
Gm24751	0	0	0	0	0	0	0	0
Gm24754	0	0	0	0	0	0	0	0
Gm24756	0	0	0	0	0	0	0	0
Gm24757	0	0	1.022	0	0	1	0	0
Gm24761	0	0	0	0	0	0	0	0
Gm24762	0	0	1	0	0	1	0	0
Gm24763	0	0	0	0	0	0	0	0
Gm24764	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0
Gm24766	0	0	0	0	0	0	0	0
Gm24767	0	0	0	0	0	0	0	0
Gm24768	0	0	0	0	0	0	0	0
Gm24769	0	0	0	0	0	0	0	0
Gm24770	0	0	0	0	0	0	0	0
Gm24771	0	0	0	0	0	0	0	0
Gm24772	0	0	0	0	0	0	0	0
Gm24773	0	0	0	0	0	0	0	0
Gm24774	0	0	0	0	0	0	0	0
Gm24775	0	0	0	0	0	0	0	0
Gm24776	0	0	0	1	0	0	0	0
Gm24777	0	0	0	0	0	0	0	0
Gm24780	0	0	0	0	0	0	0	0
Gm24781	0	0	0	0	0	0	0	0
Gm24782	0	0	0	0	0	0	0	0
Gm24783	0	0	0	0	0	0	0	0
Gm24784	0	0	0	0	0	0	0	0
Gm24786	0	0	0	0	0	0	0	0
Gm24787	0	0	0	0	0	0	0	0
Gm24788	0	0	0	0	0	0	0	0
Gm24789	0	0	0	0	0.749	0	0	0
Gm2479	1	0	0	1	4	0	0	1
Gm24790	0	0	0	0	0	0	0	0
Gm24791	0	0	0	0	0	0	0	0
Gm24792	0	0	0	0	0	0	0	0
Gm24793	0	0	0	0	0	0	0	0
Gm24794	0	0	0	0	0	0	0	0
Gm24796	0	0	0	0	0	0	0	0
Gm24797	0	0	0	0	0	0	0	0
Gm24799	0	0	0	0	0	0	0	0
Gm24801	6.541	3.19	7.698	1.116	3.821	4.701	4.299	2.582
Gm24804	0	0	0	0	0	0	0	0
Gm24805	0	0	0	0	0	0	0	1
Gm24806	0	0	0	0	0	0	0	0
Gm24808	0	0	0	0	0	0	0	0
Gm24809	0	0	0	0	1	0	0	0
Gm24810	0	0	0	0	0	0	0	0
Gm24811	0	0	0	0	0	0	0	0
Gm24812	0	0	0	0	0	0	0	0
Gm24813	0	0	0	0	0	0	0	0
Gm24816	0	0	0	0	0	0	0	0
Gm24817	0	0	0	0	0	0	0	0
Gm24818	0	0	0	0	0	0	0	0
Gm24819	0	0	0	0	0	0	0	0
Gm24823	0	0	0	0	0	0	0	0
Gm24824	0	0	0	0	0	0	0	0
Gm24826	0	0	0	0	0	0	0	0
Gm24830	0	0	0	0	0	0	0	0
Gm24831	0	0	0	0	0	0	0	0
